UTM33_X,UTM33_Y,exposed_bedr
208561,6637765,0
208561,6637790,1
208561,6637815,1
208561,6637840,1
208561,6637865,1
208561,6637890,1
208561,6637915,1
208561,6637940,1
208561,6637965,1
208561,6637990,1
208561,6638015,1
208561,6638040,1
208561,6638065,1
208561,6638090,1
208561,6638115,1
208561,6638140,1
208561,6638165,1
208561,6638190,1
208561,6638215,1
208561,6638240,1
208561,6638265,1
208561,6638290,1
208561,6638315,1
208561,6638340,1
208561,6638365,1
208561,6638390,1
208561,6638415,1
208561,6638440,1
208561,6638465,1
208561,6638490,1
208561,6638515,1
208561,6638540,1
208561,6638565,1
208561,6638590,1
208561,6638615,1
208561,6638640,1
208561,6638665,1
208561,6638690,1
208561,6638715,1
208561,6638740,1
208561,6638765,1
208561,6638790,1
208561,6638815,1
208561,6638840,1
208561,6638865,1
208561,6638890,1
208561,6638915,1
208561,6638940,1
208561,6638965,1
208561,6638990,1
208561,6639015,1
208561,6639040,1
208561,6639065,1
208561,6639090,1
208561,6639115,1
208561,6639140,1
208561,6639165,1
208561,6639190,1
208561,6639215,1
208561,6639240,1
208561,6639265,1
208561,6639290,0
208561,6639315,0
208561,6639340,0
208561,6639365,0
208561,6639390,1
208561,6639415,1
208561,6639440,1
208561,6639465,1
208561,6639490,1
208561,6639515,1
208561,6639540,1
208561,6639565,1
208561,6639590,1
208561,6639615,1
208561,6639640,1
208561,6639665,1
208561,6639690,1
208561,6639715,1
208561,6639740,1
208561,6639765,1
208561,6639790,1
208561,6639815,1
208561,6639840,1
208561,6639865,1
208561,6639890,1
208561,6639915,1
208561,6639940,1
208561,6639965,1
208561,6639990,1
208561,6640015,1
208561,6640040,1
208561,6640065,1
208561,6640090,1
208561,6640115,1
208561,6640140,1
208561,6640165,1
208561,6640190,1
208561,6640215,1
208561,6640240,1
208561,6640265,1
208561,6640290,1
208561,6640315,1
208561,6640340,1
208561,6640365,1
208561,6640390,1
208561,6640415,1
208561,6640440,1
208561,6640465,1
208561,6640490,1
208561,6640515,1
208561,6640540,1
208561,6640565,1
208561,6640590,1
208561,6640615,1
208561,6640640,1
208561,6640665,1
208561,6640690,1
208561,6640715,1
208561,6640740,1
208561,6640765,1
208561,6640790,1
208561,6640815,1
208561,6640840,1
208561,6640865,1
208561,6640890,1
208561,6640915,1
208561,6640940,1
208561,6640965,1
208561,6640990,1
208561,6641015,1
208561,6641040,1
208561,6641065,1
208561,6641090,1
208561,6641115,1
208561,6641140,1
208561,6641165,1
208561,6641190,1
208561,6641215,1
208561,6641240,1
208561,6641265,1
208561,6641290,1
208561,6641315,1
208561,6641340,1
208561,6641365,1
208561,6641390,1
208561,6641415,1
208561,6641440,1
208561,6641465,1
208561,6641490,1
208561,6641515,1
208561,6641540,1
208561,6641565,1
208561,6641590,1
208561,6641615,0
208561,6641640,0
208561,6641665,0
208561,6641690,1
208561,6641715,1
208561,6641740,1
208561,6641765,1
208561,6641790,1
208561,6641815,1
208561,6641840,1
208561,6641865,1
208561,6641890,1
208561,6641915,1
208561,6641940,1
208561,6641965,1
208561,6641990,1
208561,6642015,1
208561,6642040,1
208561,6642065,0
208561,6642090,1
208561,6642115,1
208561,6642140,1
208561,6642165,0
208561,6642190,0
208561,6642215,0
208561,6642240,0
208561,6642265,0
208561,6642290,0
208561,6642315,0
208561,6642340,0
208561,6642365,0
208561,6642390,0
208561,6642415,0
208561,6642440,0
208561,6642465,0
208561,6642490,1
208561,6642515,1
208561,6642540,1
208561,6642565,1
208561,6642590,1
208561,6642615,1
208561,6642640,1
208561,6642665,1
208561,6642690,1
208561,6642715,1
208561,6642740,1
208561,6642765,1
208561,6642790,1
208561,6642815,1
208561,6642840,1
208561,6642865,1
208561,6642890,1
208561,6642915,1
208561,6642940,1
208561,6642965,1
208561,6642990,1
208561,6643015,1
208561,6643040,1
208561,6643065,1
208561,6643090,1
208561,6643115,1
208561,6643140,1
208561,6643165,1
208561,6643190,0
208561,6643215,0
208561,6643240,0
208561,6643265,0
208561,6643290,0
208561,6643315,1
208561,6643340,1
208561,6643365,1
208561,6643390,1
208561,6643415,1
208561,6643440,1
208561,6643465,1
208561,6643490,1
208561,6643515,1
208561,6643540,1
208561,6643565,1
208561,6643590,1
208561,6643615,1
208561,6643640,1
208561,6643665,1
208561,6643690,1
208561,6643715,1
208561,6643740,1
208561,6643765,1
208561,6643790,1
208561,6643815,1
208561,6643840,1
208561,6643865,1
208561,6643890,1
208561,6643915,1
208561,6643940,1
208561,6643965,1
208561,6643990,1
208561,6644015,1
208561,6644040,1
208561,6644065,1
208561,6644090,1
208561,6644115,1
208561,6644140,1
208561,6644165,1
208561,6644190,1
208561,6644215,1
208561,6644240,1
208561,6644265,1
208561,6644290,1
208561,6644315,1
208561,6644340,1
208561,6644365,1
208561,6644390,1
208561,6644415,1
208561,6644440,1
208561,6644465,1
208561,6644490,1
208561,6644515,1
208561,6644540,1
208561,6644565,1
208561,6644590,1
208561,6644615,1
208561,6644640,1
208561,6644665,1
208561,6644690,1
208561,6644715,1
208561,6644740,1
208561,6644765,1
208561,6644790,1
208561,6644815,1
208561,6644840,1
208561,6644865,1
208561,6644890,1
208561,6644915,1
208561,6644940,1
208561,6644965,1
208561,6644990,1
208561,6645015,1
208561,6645040,1
208561,6645065,1
208561,6645090,1
208561,6645115,1
208561,6645140,1
208561,6645165,1
208561,6645190,1
208561,6645215,1
208561,6645240,1
208561,6645265,1
208561,6645290,1
208561,6645315,1
208561,6645340,1
208561,6645365,1
208561,6645390,1
208561,6645415,1
208561,6645440,1
208561,6645465,1
208561,6645490,1
208561,6645515,1
208561,6645540,1
208561,6645565,1
208561,6645590,1
208561,6645615,1
208561,6645640,1
208561,6645665,1
208586,6636490,1
208586,6636515,1
208586,6636540,1
208586,6636565,1
208586,6636590,1
208586,6636615,1
208586,6636640,1
208586,6636665,1
208586,6636690,1
208586,6636715,1
208586,6636740,1
208586,6636765,1
208586,6636790,1
208586,6636815,1
208586,6636840,0
208586,6636865,0
208586,6636890,0
208586,6636915,0
208586,6636940,1
208586,6636965,1
208586,6636990,1
208586,6637015,1
208586,6637040,0
208586,6637065,0
208586,6637090,0
208586,6637115,1
208586,6637140,1
208586,6637165,0
208586,6637190,0
208586,6637215,0
208586,6637240,0
208586,6637265,0
208586,6637290,0
208586,6637315,0
208586,6637340,0
208586,6637365,0
208586,6637390,0
208586,6637415,0
208586,6637440,0
208586,6637465,0
208586,6637490,1
208586,6637515,1
208586,6637540,1
208586,6637565,0
208586,6637590,0
208586,6637615,0
208586,6637640,1
208586,6637665,1
208586,6637690,1
208586,6637715,1
208586,6637740,0
208586,6637765,0
208586,6637790,0
208586,6637815,0
208586,6637840,1
208586,6637865,1
208586,6637890,1
208586,6637915,1
208586,6637940,1
208586,6637965,1
208586,6637990,1
208586,6638015,1
208586,6638040,1
208586,6638065,1
208586,6638090,1
208586,6638115,1
208586,6638140,1
208586,6638165,1
208586,6638190,1
208586,6638215,1
